Trust_Code;Trust_Name;Expected;Final;Completion;Cleaned;Service_User_Survey;Therapist Questionnaire;18-25;26-35;36-45;46-55;56-65;>65;Male;Female;Nonbinary_other;Unknown_not_documented;White;Mixed;Asian;Black;Other;Ethnicity_Unknown;Declined;Employed_less_than_16 hrs;Employed_16+;Homemaker;Long_term_sick;No_benefits_or_work;Retired;Student;Unemployed_seeking work;Unpaid_voluntary;Declined4;Employment_Unknown;Mainstream_housing;Criminal_Justice;Housing_with_mental_health ;Other_care_support;Acute_long stay;Homeless;Sheltered;Other5;Declined_to_answer;Accom_Unknown_not doc;Sexual_orientation_recorded;Heterosexual;Gay_lesbian;Bisexual;Other;Sexual_orien_Unknown_not_documented;Sexual Orien Declined to answer;Behavioural and emotional disability;Progressive conditions and physical health ;Mobility and gross motor disability ;Memory, ability to learn, concentrate or understand;Personal, self-care and continence;Hearing_disability;Sight_disability ;Manual dexterity;Perception_of_physical_danger;Speech_disability ;Other;Bipolar_problem;BDD_problem;Depression_problem;Eating_disorder_problem;GAD;Mixed a&D_problem;OCD_problem;PanicDisorder_problem;PD_problem;PTSD_problem;Specific_phobia_problem;Socialphob_problem;Other Anx_problem;Otherdiag_problem;Unknown_problem;Depressive_episode (F32);"Recurrent depressive disorder (F33); persistent mood [affective] disorders (F34); other mood [affective] disorders (F38, F39)";"Phobic_anxiety disorders (F40); other anxiety disorders (F41); obsessive-compulsive disorder (F42)";Reaction_to_severe_stress_and_adjustment_disordersF43;Disorders of adult personality and behaviour (F60-69)?;Behavioural syndromes associated with physiological disturbances and physical factors (F50 - F59)   ?;Mental and behavioural disorders due to psychoactive substance use (F10-F19)   ?;Bipolar_disorderF31;Other diagnoses not listed above     ?;Unknown/ not documented;Age not doc;Gender not doc;Ethnicity not doc;Accommodation not doc;Employment not doc;Disability not doc;Sexual orientation not doc;Started therapy within 18 weeks;Started therapy btw 19-26 weeks;Started therapy btw 27-52 weeks;Started therapy btw 53-104 weeks;Started therapy 105 weeks plus;% above 18 weeks;Avg wait for therapy (days);;into weeks;% Agree wait time reasonable;% disagree wait time reasonable;% Receiving NICE therapy ;Avg number of sessions;% Agree enough info about therapy;% Disagree enough info about therapy;% Agree where info is kept;% disagreewhere info is kept;Choice Type of therapy  ;Not enough  choice;No choice;Choice venue of therapy;Not enough  choice venue;No choice venue;Choice gender of therapist;Not enough choice gender;No choice gender;Choice of language therapy;Not enough choice language;No choice  language;Appt convenient day/time Agree;Appt convenient day/time Disagree;Appt location difficulty Agree;Appt location difficulty Disagree;Referred therapy right time Agree;Referred therapy right time disagree;Experience empathy Agree;Experience empathy Disagree;Needs taken seriously Agree;Needs taken seriously Disagree;Agreed goals Agree ;Agreed goals Disagree;Discussed previous therapy Agree;Discussed previous therapy Disagree;Discussed overall care Agree;Discussed overall care Disagree;Helped understand difficulties Agree;Helped understand difficulties Disagree;Helped cope with diffculties Agree;Helped cope with diffculties Disagree;Therapy right kind of help Agree;Therapy right kind of help Disagree;Right no. sessions Agreed;Right no. sessions Disagree;Lasting_bad_effects_Agree;Lasting_bad_effect_Disagree;Outcome_measure_used_at_least_once;Outcome measure used more than once;Discussed_progress_with_therapist;Didn’t discuss progress during treatment;therapist agrees supervision received is sufficient;therapist supervises other therapists;therapist trained to supervise others;therapists recieiving individual supervision;therapists receiving group supervision;therapists receiving both supervision;therapists receiving no supervision;therapist1+ therapy type no formal training;therapist_agreeing_that_cpd_is_sufficient
RWR;HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST;130;130;100%;128;20;0;24% (31/128);22% (28/128);17% (22/128);13% (16/128);2% (3/128);22% (28/128);30% (38/128);70% (90/128);0% (0/128);0% (0/128);94% (120/128);1% (1/128);2% (2/128);2% (2/128);1% (1/128);2% (2/128);0% (0/128);3% (4/128);15% (19/128);9% (11/128);17% (22/128);6% (7/128);13% (16/128);6% (7/128);22% (28/128);0% (0/128);0% (0/128);11% (14/128);81% (103/128);0% (0/128);1% (1/128);5% (6/128);3% (4/128);2% (2/128);0% (0/128);1% (1/128);0% (0/128);9% (11/128);82% (105/128);77% (98/128);2% (3/128);3% (4/128);0% (0/128);16% (21/128);2% (2/128);40% (28/70);4% (3/70);6% (4/70);0% (0/70);0% (0/70);1% (1/70);0% (0/70);0% (0/70);0% (0/70);0% (0/70);6% (4/70);2% (2/128);0% (0/128);29% (37/128);1% (1/128);9% (12/128);20% (26/128);4% (5/128);1% (1/128);22% (28/128);5% (6/128);0% (0/128);0% (0/128);1% (1/128);5% (6/128);2% (3/128);20% (23/113);16% (18/113);27% (30/113);9% (10/113);21% (24/113);3% (3/113);1% (1/113);4% (4/113);0% (0/113);12% (15/128);0% (0/128);0% (0/128);2% (2/128);9% (11/128);11% (14/128);28% (36/128);16% (21/128);78% (95/122);11% (13/122);7% (9/122);3% (4/122);1% (1/122);22% (27/122);89;13;13 weeks;74% (14/19);21% (4/19);69% (42/61);7,69;63% (12/19);26% (5/19);60% (12/20);30% (6/20);53% (9/17);35% (6/17);12% (2/17);36% (4/11);36% (4/11);27% (3/11);13% (1/8);13% (1/8);75% (6/8);0% (0/1);0% (0/1);100% (1/1);90% (18/20);5% (1/20);60% (12/20);25% (5/20);78% (14/18);17% (3/18);90% (18/20);5% (1/20);85% (17/20);15% (3/20);79% (15/19);11% (2/19);53% (10/19);15.8% (3/19);50% (10/20);30% (6/20);84% (16/19);16% (3/19);75% (15/20);20% (4/20);79% (15/19);16% (3/19);53% (10/19);26% (5/19);0% (0/19);95% (18/19);66% (84/128);41% (53/128);85% (17/20);10% (2/20);-;-;-;-;-;-;-;-;
RWV;DEVON PARTNERSHIP NHS TRUST;30;30;100%;30;1;8;20% (6/30);23% (7/30);17% (5/30);27% (8/30);10% (3/30);3% (1/30);37% (11/30);63% (19/30);0% (0/30);0% (0/30);97% (29/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);3% (1/30);0% (0/30);7% (2/30);3% (1/30);3% (1/30);20% (6/30);0% (0/30);10% (3/30);0% (0/30);13% (4/30);0% (0/30);3% (1/30);40% (12/30);90% (27/30);0% (0/30);0% (0/30);7% (2/30);3% (1/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);50% (15/30);43% (13/30);3% (1/30);3% (1/30);0% (0/30);50% (15/30);0% (0/30);0% (0/23);0% (0/23);4% (1/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);10% (3/30);0% (0/30);20% (6/30);10% (3/30);0% (0/30);0% (0/30);10% (3/30);0% (0/30);37% (11/30);7% (2/30);0% (1/30);3% (1/30);0% (0/30);3% (1/30);0% (0/30);10% (3/30);7% (2/30);17% (5/30);7% (2/30);40% (12/30);10% (3/30);0% (0/30);10% (3/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);3% (1/30);0% (0/30);40% (12/30);73% (22/30);50% (15/30);35% (9/26);4% (1/26);23% (6/26);19% (5/26);19% (5/26);65% (17/26);385;55;55 weeks;0% (0/1);0% (0/1);8% (1/12);20;100% (1/1);0% (0/1);100% (1/1);0% (0/1);100% (1/1);0% (0/1);0% (0/1);0% (0/1);0% (0/1);100% (1/1);0% (0/0);0% (0/0);0% (0/0);0% (0/0);0% (0/0);0% (0/0);100% (1/1);0% (0/1);100% (1/1);0% (0/1);100% (1/1);0% (0/1);100% (1/1);0% (0/1);100% (1/1);0% (0/1);100% (1/1);0% (0/1);100% (1/1);0% (0/1);100% (1/1);0% (0/1);100% (1/1);0% (0/1);100% (1/1);0% (0/1);100% (1/1);0% (0/1);100% (1/1);0% (0/1);0% (0/1);100% (1/1);100% (30/30);100% (30/30);100% (1/1);0% (0/1);63% (5/8);50% (4/8);75% (3/4);13% (1/8);13% (1/8);75% (6/8);0% (0/8);50% (4/8);88% (7/8)
RWX;BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST;150;150;100%;149;29;101;17% (26/149);21% (31/149);15% (22/149);17% (26/149);11% (16/149);19% (28/149);32% (48/149);68% (101/149);0% (0/149);0% (0/149);86% (128/149);4% (6/149);4% (6/149);2% (3/149);1% (2/149);3% (4/149);0% (0/149);8% (12/149);24% (36/149);3% (5/149);16% (24/149);3% (5/149);22% (32/149);7% (10/149);8% (12/149);1% (2/149);0% (0/149);7% (11/149);81% (121/149);0% (0/149);2% (3/149);3% (4/149);5% (8/149);1% (1/149);1% (1/149);0% (0/149);0% (0/149);7% (11/149);56% (83/149);54% (80/149);1% (1/149);1% (1/149);1% (1/149);44% (66/149);0% (0/149);32% (32/99);19% (19/99);8% (8/99);9% (9/99);1% (1/99);3% (3/99);0% (0/99);1% (1/99);1% (1/99);0% (0/99);5% (5/99);5% (8/149);0% (0/149);20% (29/149);0% (0/149);2% (3/149);21% (31/149);2% (3/149);0% (0/149);11% (17/149);24% (36/149);1% (3/149);2% (3/149);1% (1/149);10% (15/149);1% (2/149);19% (28/146);8% (11/146);22% (32/146);30% (44/146);12% (18/146);1% (2/146);0% (0/146);6% (9/146);1% (2/146);2% (3/149);0% (0/149);0% (0/149);3% (4/149);7% (11/149);7% (11/149);28% (42/149);44% (66/149);71% (105/148);10% (14/148);18% (27/148);1% (2/148);0% (0/148);29% (43/148);88;13;13 weeks;65% (17/26);27% (7/26);84% (62/74);9,73;59% (16/27);26% (7/27);43% (12/28);25% (7/28);65% (13/20);10% (2/20);25% (5/20);31% (4/13);15% (2/13);54% (7/13);38% (3/8);0% (0/8);63% (5/8);25% (1/4);0% (0/4);75% (3/4);83% (24/29);10% (3/29);76% (19/25);8% (2/25);74% (20/27);11% (3/27);83% (24/29);10% (3/29);76% (22/29);17% (5/29);68% (19/28);18% (5/28);74% (20/27);18.5% (5/27);68% (19/28);14% (4/28);76% (22/29);17% (5/29);76% (22/29);21% (6/29);66% (19/29);24% (7/29);66% (19/29);21% (6/29);23% (6/26);73% (19/26);45% (67/149);37% (55/149);72% (21/29);17% (5/29);93% (81/87);47% (47/101);98% (46/47);54% (54/101);4% (4/101);43% (43/101);0% (0/101);47% (47/101);76% (63/83)
RX2;SUSSEX PARTNERSHIP NHS FOUNDATION TRUST;272;272;100%;253;40;143;23% (59/253);21% (54/253);23% (57/253);15% (38/253);7% (17/253);11% (28/253);31% (78/253);69% (175/253);0% (0/253);0% (0/253);86% (218/253);1% (2/253);0% (0/253);1% (3/253);1% (2/253);11% (28/253);0% (0/253);2% (4/253);21% (54/253);1% (2/253);29% (72/253);2% (4/253);11% (28/253);7% (18/253);13% (33/253);0% (0/253);4% (9/253);12% (29/253);83% (211/253);0% (0/253);2% (4/253);2% (4/253);1% (3/253);3% (8/253);1% (3/253);0% (0/253);0% (0/253);8% (20/253);55% (139/253);47% (120/253);5% (13/253);2% (6/253);0% (0/253);40% (101/253);5% (13/253);6% (12/220);1% (2/220);1% (2/220);2% (5/220);1% (1/220);0% (0/220);0% (0/220);0% (0/220);0% (0/220);0% (0/220);4% (8/220);3% (8/253);0% (1/253);16% (40/253);1% (2/253);10% (25/253);12% (29/253);6% (15/253);0% (0/253);17% (43/253);10% (25/253);0% (4/253);2% (4/253);7% (17/253);10% (25/253);7% (18/253);9% (23/244);9% (21/244);21% (51/244);14% (35/244);30% (72/244);1% (2/244);0% (1/244);7% (16/244);9% (23/244);4% (9/253);0% (0/253);0% (0/253);11% (28/253);8% (20/253);12% (29/253);76% (193/253);40% (101/253);78% (173/221);7% (15/221);13% (29/221);2% (4/221);0% (0/221);22% (48/221);82;12;12 weeks;46% (17/37);41% (15/37);48% (52/109);9,18;55% (21/38);26% (10/38);50% (20/40);33% (13/40);44% (15/34);27% (9/34);29% (10/34);45% (9/20);10% (2/20);45% (9/20);27% (4/15);20% (3/15);53% (8/15);0% (0/1);0% (0/1);100% (1/1);88% (35/40);5% (2/40);80% (32/40);10% (4/40);59% (23/39);33% (13/39);93% (37/40);8% (3/40);85% (34/40);15% (6/40);80% (32/40);8% (3/40);80% (32/40);5% (2/40);83% (33/40);10% (4/40);78% (31/40);10% (4/40);70% (28/40);25% (10/40);80% (32/40);18% (7/40);60% (24/40);23% (9/40);10% (4/40);65% (26/40);54% (136/252);52% (131/253);65% (26/40);18% (7/40);79% (111/140);46% (65/143);86% (56/65);35% (50/143);9% (13/143);41% (59/143);15% (21/143);56% (80/143);63% (88/139)
RX4;NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST;80;80;100%;75;8;34;12% (9/75);20% (15/75);11% (8/75);17% (13/75);13% (10/75);27% (20/75);39% (29/75);61% (46/75);0% (0/75);0% (0/75);95% (71/75);0% (0/75);1% (1/75);0% (0/75);0% (0/75);4% (3/75);0% (0/75);3% (2/75);15% (11/75);0% (0/75);29% (22/75);3% (2/75);31% (23/75);0% (0/75);13% (10/75);0% (0/75);0% (0/75);7% (5/75);84% (63/75);0% (0/75);3% (2/75);4% (3/75);0% (0/75);0% (0/75);0% (0/75);5% (4/75);0% (0/75);4% (3/75);49% (37/75);48% (36/75);1% (1/75);0% (0/75);0% (0/75);51% (38/75);0% (0/75);39% (21/54);28% (15/54);13% (7/54);4% (2/54);7% (4/54);4% (2/54);0% (0/54);2% (1/54);2% (1/54);0% (0/54);4% (2/54);4% (3/75);0% (0/75);29% (22/75);0% (0/75);5% (4/75);20% (15/75);4% (3/75);0% (0/75);12% (9/75);8% (6/75);0% (0/75);0% (0/75);4% (3/75);4% (3/75);9% (7/75);25% (19/75);12% (9/75);25% (19/75);4% (3/75);19% (14/75);1% (1/75);5% (4/75);5% (4/75);3% (2/75);0% (0/75);0% (0/75);0% (0/75);4% (3/75);4% (3/75);7% (5/75);21% (16/75);51% (38/75);88% (52/59);2% (1/59);7% (4/59);3% (2/59);0% (0/59);12% (7/59);59;8;8 weeks;88% (7/8);13% (1/8);57% (20/35);7,45;63% (5/8);13% (1/8);63% (5/8);0% (0/8);67% (4/6);33% (2/6);0% (0/6);50% (3/6);33% (2/6);17% (1/6);0% (0/2);0% (0/2);100% (2/2);100% (1/1);0% (0/1);0% (0/1);100% (8/8);0% (0/8);100% (7/7);0% (0/7);75% (6/8);13% (1/8);100% (7/7);0% (0/7);88% (7/8);0% (0/8);75% (6/8);0% (0/8);88% (7/8);0% (0/8);88% (7/8);0% (0/8);100% (8/8);0% (0/8);75% (6/8);25% (2/8);86% (6/7);14% (1/7);63% (5/8);25% (2/8);0% (0/7);100% (7/7);17% (13/75);15% (11/75);88% (7/8);13% (1/8);94% (32/34);74% (25/34);100% (25/25);50% (17/34);0% (0/34);50% (17/34);0% (0/34);47% (16/34);77% (26/34)
RXA;CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST;111;56;50%;54;6;6;11% (6/54);19% (10/54);26% (14/54);32% (17/54);6% (3/54);7% (4/54);30% (16/54);70% (38/54);0% (0/54);0% (0/54);94% (51/54);4% (2/54);2% (1/54);0% (0/54);0% (0/54);0% (0/54);0% (0/54);9% (5/54);13% (7/54);4% (2/54);43% (23/54);6% (3/54);7% (4/54);2% (1/54);11% (6/54);4% (2/54);0% (0/54);2% (1/54);83% (45/54);0% (0/54);6% (3/54);2% (1/54);2% (1/54);0% (0/54);4% (2/54);4% (2/54);0% (0/54);0% (0/54);85% (46/54);80% (43/54);4% (2/54);2% (1/54);0% (0/54);11% (6/54);4% (2/54);54% (13/24);38% (9/24);13% (3/24);13% (3/24);13% (3/24);4% (1/24);4% (1/24);0% (0/24);0% (0/24);0% (0/24);0% (0/24);11% (6/54);0% (0/54);19% (10/54);0% (0/54);4% (2/54);24% (13/54);6% (3/54);2% (1/54);6% (3/54);9% (5/54);0% (0/54);0% (0/54);2% (1/54);15% (8/54);4% (2/54);6% (3/51);20% (10/51);28% (14/51);0% (0/51);18% (9/51);2% (1/51);0% (0/51);22% (11/51);6% (3/51);6% (3/54);0% (0/54);0% (0/54);0% (0/54);0% (0/54);2% (1/54);11% (6/54);11% (6/54);47% (23/49);16% (8/49);31% (15/49);6% (3/49);0% (0/49);53% (26/49);158;23;23 weeks;33% (2/6);67% (4/6);91% (19/21);15,35;50% (3/6);17% (1/6);33% (2/6);0% (0/6);0% (0/2);100% (2/2);0% (0/2);0% (0/3);67% (2/3);33% (1/3);0% (0/0);0% (0/0);0% (0/0);0% (0/0);0% (0/0);0% (0/0);33% (2/6);33% (2/6);67% (4/6);17% (1/6);50% (3/6);33% (2/6);83% (5/6);0% (0/6);83% (5/6);0% (0/6);83% (5/6);0% (0/6);83% (5/6);0% (0/6);83% (5/6);0% (0/6);83% (5/6);0% (0/6);83% (5/6);0% (0/6);67% (4/6);0% (0/6);50% (3/6);17% (1/6);17% (1/6);50% (3/6);15% (8/54);13% (7/54);67% (4/6);0% (0/6);100% (6/6);67% (4/6);75% (3/4);67% (4/6);0% (0/6);33% (2/6);0% (0/6);67% (4/6);67% (4/6)
RXE;ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST;30;30;25%;30;11;12;20% (6/30);23% (7/30);20% (6/30);17% (5/30);20% (6/30);0% (0/30);30% (9/30);70% (21/30);0% (0/30);0% (0/30);97% (29/30);0% (0/30);3% (1/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);3% (1/30);23% (7/30);0% (0/30);57% (17/30);0% (0/30);3% (1/30);10% (3/30);0% (0/30);0% (0/30);0% (0/30);3% (1/30);100% (30/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);93% (28/30);70% (21/30);10% (3/30);13% (4/30);0% (0/30);7% (2/30);0% (0/30);11% (2/19);0% (0/19);11% (2/19);0% (0/19);0% (0/19);5% (1/19);0% (0/19);0% (0/19);0% (0/19);0% (0/19);0% (0/19);0% (0/30);0% (0/30);10% (3/30);0% (0/30);3% (1/30);27% (8/30);7% (2/30);0% (0/30);20% (6/30);13% (4/30);0% (0/30);0% (0/30);3% (1/30);17% (5/30);0% (0/30);4% (1/28);21% (6/28);21% (6/28);25% (7/28);14% (4/28);0% (0/28);7% (2/28);4% (1/28);4% (1/28);7% (2/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);3% (1/30);47% (14/30);7% (2/30);62% (13/21);24% (5/21);14% (3/21);0% (0/21);0% (0/21);38% (8/21);108;15;15 weeks;64% (7/11);36% (4/11);90% (9/10);10,09;50% (5/10);30% (3/10);40% (4/10);30% (3/10);38% (3/8);25% (2/8);38% (3/8);0% (0/2);50% (1/2);50% (1/2);25% (1/4);50% (2/4);25% (1/4);0% (0/1);100% (1/1);0% (0/1);91% (10/11);0% (0/11);80% (8/10);10% (1/10);50% (5/10);50% (5/10);91% (10/11);0% (0/11);82% (9/11);0% (0/11);73% (8/11);27% (3/11);70% (7/10);10% (1/10);67% (6/9);11% (1/9);82% (9/11);9% (1/11);73% (8/11);18% (2/11);73% (8/11);27% (3/11);55% (6/11);27% (3/11);20% (2/10);70% (7/10);60% (18/30);53% (16/30);55% (6/11);9% (1/11);82% (9/11);42% (5/12);60% (3/5);42% (5/12);0% (0/12);42% (5/12);17% (2/12);75% (9/12);60% (6/10)
RXG;SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST;120;53;44%;52;8;31;10% (5/52);15% (8/52);19% (10/52);23% (12/52);10% (5/52);23% (12/52);35% (18/52);65% (34/52);0% (0/52);0% (0/52);89% (46/52);4% (2/52);0% (0/52);0% (0/52);2% (1/52);2% (1/52);4% (2/52);6% (3/52);17% (9/52);2% (1/52);23% (12/52);8% (4/52);25% (13/52);2% (1/52);8% (4/52);0% (0/52);0% (0/52);10% (5/52);87% (45/52);0% (0/52);0% (0/52);0% (0/52);2% (1/52);2% (1/52);0% (0/52);2% (1/52);2% (1/52);6% (3/52);90% (47/52);87% (45/52);4% (2/52);0% (0/52);0% (0/52);4% (2/52);6% (3/52);47% (9/19);42% (8/19);32% (6/19);5% (1/19);5% (1/19);0% (0/19);0% (0/19);0% (0/19);0% (0/19);0% (0/19);5% (1/19);0% (0/52);0% (0/52);29% (15/52);0% (0/52);10% (5/52);23% (12/52);0% (0/52);0% (0/52);14% (7/52);10% (5/52);0% (2/52);4% (2/52);2% (1/52);10% (5/52);0% (0/52);12% (6/49);18% (9/49);22% (11/49);12% (6/49);22% (11/49);0% (0/49);0% (0/49);2% (1/49);10% (5/49);6% (3/52);0% (0/52);0% (0/52);2% (1/52);6% (3/52);10% (5/52);2% (1/52);4% (2/52);65% (34/52);10% (5/52);4% (2/52);14% (7/52);8% (4/52);35% (18/52);205;29;29 weeks;38% (3/8);63% (5/8);63% (17/27);11,75;38% (3/8);63% (5/8);25% (2/8);63% (5/8);13% (1/8);50% (4/8);38% (3/8);25% (2/8);0% (0/8);75% (6/8);0% (0/6);0% (0/6);100% (6/6);0% (0/0);0% (0/0);0% (0/0);75% (6/8);13% (1/8);38% (3/8);63% (5/8);38% (3/8);13% (1/8);75% (6/8);25% (2/8);63% (5/8);38% (3/8);50% (4/8);50% (4/8);38% (3/8);37.5% (3/8);50% (4/8);38% (3/8);50% (4/8);50% (4/8);38% (3/8);50% (4/8);25% (2/8);50% (4/8);25% (2/8);50% (4/8);43% (3/7);43% (3/7);35% (18/52);15% (8/52);63% (5/8);38% (3/8);90% (28/31);84% (26/31);96% (25/26);48% (15/31);3% (1/31);48% (15/31);0% (0/31);65% (20/31);45% (14/31)
RXM;DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST;60;60;100%;59;21;29;19% (11/59);17% (10/59);17% (10/59);27% (16/59);10% (6/59);10% (6/59);46% (27/59);53% (31/59);2% (1/59);0% (0/59);88% (52/59);2% (1/59);0% (0/59);0% (0/59);0% (0/59);5% (3/59);5% (3/59);3% (2/59);20% (12/59);0% (0/59);22% (13/59);7% (4/59);9% (5/59);7% (4/59);5% (3/59);3% (2/59);0% (0/59);24% (14/59);86% (51/59);0% (0/59);0% (0/59);0% (0/59);0% (0/59);0% (0/59);0% (0/59);3% (2/59);0% (0/59);10% (6/59);68% (40/59);61% (36/59);3% (2/59);2% (1/59);2% (1/59);31% (18/59);2% (1/59);46% (12/26);12% (3/26);12% (3/26);4% (1/26);4% (1/26);0% (0/26);4% (1/26);0% (0/26);4% (1/26);0% (0/26);4% (1/26);2% (1/59);2% (1/59);22% (13/59);2% (1/59);10% (6/59);12% (7/59);15% (9/59);3% (2/59);5% (3/59);12% (7/59);0% (1/59);2% (1/59);5% (3/59);7% (4/59);2% (1/59);4% (2/55);15% (8/55);51% (28/55);11% (6/55);6% (3/55);2% (1/55);0% (0/55);4% (2/55);9% (5/55);7% (4/59);0% (0/59);0% (0/59);5% (3/59);10% (6/59);24% (14/59);15% (9/59);31% (18/59);53% (28/53);13% (7/53);19% (10/53);9% (5/53);6% (3/53);47% (25/53);202;29;29 weeks;50% (9/18);39% (7/18);90% (34/38);13,38;56% (10/18);33% (6/18);45% (9/20);40% (8/20);60% (9/15);20% (3/15);20% (3/15);27% (3/11);9% (1/11);64% (7/11);50% (2/4);0% (0/4);50% (2/4);0% (0/1);0% (0/1);100% (1/1);81% (17/21);10% (2/21);76% (16/21);24% (5/21);47% (9/19);37% (7/19);76% (16/21);14% (3/21);76% (16/21);19% (4/21);65% (13/20);30% (6/20);65% (13/20);25% (5/20);55% (11/20);25% (5/20);79% (15/19);21% (4/19);55% (11/20);40% (8/20);53% (10/19);37% (7/19);42% (8/19);26% (5/19);14% (3/21);71% (15/21);58% (34/59);24% (14/59);68% (13/19);21% (4/19);96% (27/28);59% (17/29);94% (16/17);31% (9/29);7% (2/29);62% (18/29);0% (0/29);55% (16/29);70% (19/27)
RXT;BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST;204;203;99%;201;0;35;7% (14/201);30% (61/201);23% (46/201);28% (57/201);10% (20/201);2% (3/201);40% (80/201);60% (120/201);1% (1/201);0% (0/201);75% (151/201);5% (10/201);13% (27/201);3% (6/201);1% (2/201);3% (5/201);0% (0/201);1% (2/201);22% (45/201);3% (5/201);40% (81/201);2% (4/201);3% (6/201);3% (5/201);19% (38/201);1% (2/201);0% (0/201);7% (13/201);93% (187/201);0% (0/201);1% (2/201);1% (2/201);0% (0/201);1% (1/201);1% (1/201);0% (0/201);0% (0/201);4% (8/201);66% (133/201);65% (130/201);2% (3/201);0% (0/201);0% (0/201);33% (66/201);1% (2/201);30% (33/110);6% (6/110);4% (4/110);3% (3/110);5% (5/110);1% (1/110);3% (3/110);1% (1/110);2% (2/110);1% (1/110);4% (4/110);2% (3/201);0% (0/201);23% (47/201);3% (5/201);4% (8/201);28% (56/201);6% (11/201);1% (2/201);10% (21/201);8% (16/201);0% (2/201);1% (2/201);2% (4/201);11% (23/201);2% (3/201);10% (19/195);20% (38/195);35% (69/195);11% (21/195);17% (33/195);0% (0/195);0% (0/195);3% (5/195);5% (10/195);3% (6/201);0% (0/201);0% (0/201);3% (5/201);4% (8/201);7% (13/201);30% (61/201);33% (66/201);32% (61/190);20% (37/190);34% (65/190);13% (24/190);2% (3/190);68% (129/190);215;31;31 weeks;-;-;76% (65/86);20,89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80% (160/200);69% (138/201);-;-;88% (29/33);80% (28/35);96% (27/28);37% (13/35);6% (2/35);57% (20/35);0% (0/35);40% (14/35);91% (30/33)
RXV;GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST;23;23;100%;23;3;8;22% (5/23);30% (7/23);4% (1/23);22% (5/23);22% (5/23);0% (0/23);35% (8/23);65% (15/23);0% (0/23);0% (0/23);91% (21/23);0% (0/23);9% (2/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);9% (2/23);9% (2/23);4% (1/23);44% (10/23);4% (1/23);0% (0/23);4% (1/23);9% (2/23);4% (1/23);0% (0/23);13% (3/23);87% (20/23);0% (0/23);0% (0/23);4% (1/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);9% (2/23);83% (19/23);61% (14/23);22% (5/23);0% (0/23);0% (0/23);17% (4/23);0% (0/23);86% (6/7);14% (1/7);14% (1/7);29% (2/7);0% (0/7);0% (0/7);0% (0/7);0% (0/7);0% (0/7);0% (0/7);0% (0/7);9% (2/23);0% (0/23);26% (6/23);0% (0/23);0% (0/23);17% (4/23);9% (2/23);4% (1/23);17% (4/23);4% (1/23);4% (0/23);0% (0/23);4% (1/23);4% (1/23);0% (0/23);35% (8/23);13% (3/23);13% (3/23);4% (1/23);22% (5/23);0% (0/23);0% (0/23);13% (3/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);9% (2/23);13% (3/23);0% (0/23);17% (4/23);65% (15/23);9% (2/23);9% (2/23);13% (3/23);4% (1/23);35% (8/23);170;24;24 weeks;67% (2/3);0% (0/3);90% (9/10);13,38;67% (2/3);33% (1/3);67% (2/3);33% (1/3);100% (1/1);0% (0/1);0% (0/1);100% (2/2);0% (0/2);0% (0/2);100% (1/1);0% (0/1);0% (0/1);0% (0/0);0% (0/0);0% (0/0);100% (3/3);0% (0/3);100% (3/3);0% (0/3);67% (2/3);0% (0/3);100% (3/3);0% (0/3);100% (3/3);0% (0/3);67% (2/3);33% (1/3);100% (3/3);0% (0/3);67% (2/3);33% (1/3);67% (2/3);33% (1/3);100% (3/3);0% (0/3);67% (2/3);33% (1/3);100% (3/3);0% (0/3);0% (0/3);100% (3/3);44% (10/23);26% (6/23);67% (2/3);33% (1/3);88% (7/8);100% (8/8);88% (7/8);50% (4/8);13% (1/8);38% (3/8);0% (0/8);88% (7/8);63% (5/8)
